1   "Enter: Naruto Uzumaki!"	3 October 2002	10 September 2005
2	"My Name is Konohamaru!"	10 October 2002	10 September 2005
3	"Sasuke and Sakura: Friends or Foes?"	17 October 2002	17 September 2005
4	"Pass or Fail: Survival Test"	24 October 2002	24 September 2005
5	"You Failed! Kakashi's Final Decision"	31 October 2002	1 October 2005
6	"A Dangerous Mission! Journey to the Land of Waves!"	7 November 2002	8 October 2005
7	"The Assassin of the Mist!"	14 November 2002	15 October 2005
8	"The Oath of Pain"	21 November 2002	22 October 2005
9	"Kakashi: Sharingan Warrior!"	28 November 2002	29 October 2005
10	"The Forest of Chakra"	5 December 2002	5 November 2005
11	"The Land Where a Hero Once Lived"	12 December 2002	12 November 2005
12	"Battle on the Bridge! Zabuza Returns!"	19 December 2002	19 November 2005
13	"Haku's Secret Jutsu: Demonic Mirroring Ice Crystals"	26 December 2002	26 November 2005
14	"The Number One Hyperactive, Knucklehead Ninja Joins the Fight!"	9 January 2003	3 December 2005
15	"Zero Visibility: The Sharingan Shatters"	16 January 2003	10 December 2005
16	"The Broken Seal"	23 January 2003	17 December 2005
17	"White Past: Hidden Ambition"	30 January 2003	31 December 2005
18	"The Weapons Known as Shinobi"	6 February 2003	7 January 2006
19	"The Demon in the Snow"	13 February 2003	14 January 2006
20	"A New Chapter Begins: The Chūnin Exam!"	20 February 2003	21 January 2006
21	"Identify Yourself: Powerful New Rivals"	27 February 2003	28 January 2006
22	"Chūnin Challenge: Rock Lee vs. Sasuke!"	6 March 2003	4 February 2006
23	"Genin Takedown! All Nine Rookies Face Off!"	13 March 2003	11 February 2006
24	"Start Your Engines: The Chūnin Exam Begins!"	20 March 2003	18 February 2006
25	"The Tenth Question: All or Nothing!"	27 March 2003	25 February 2006
26	"Special Report: Live from the Forest of Death!"	2 April 2003	4 March 2006
27	"The Chūnin Exam Stage 2: The Forest of Death"	2 April 2003	15 April 2006
28	"Eat or be Eaten: Panic in the Forest"	9 April 2003	15 April 2006
29	"Naruto's Counterattack: Never Give In!"	16 April 2003	15 April 2006
30	"The Sharingan Revived: Dragon-Flame Jutsu!"	23 April 2003	22 April 2006
31	"Bushy Brow's Pledge: Undying Love and Protection!"	30 April 2003	29 April 2006
32	"Sakura Blossoms!"	7 May 2003	6 May 2006
33	"Battle Formation: Ino–Shika–Chō!!"	14 May 2003	13 May 2006
34	"Akamaru Trembles: Gaara's Cruel Strength!"	21 May 2003	20 May 2006
35	"The Scroll's Secret: No Peeking Allowed"	28 May 2003	27 May 2006
36	"Clone vs. Clone: Mine are Better Than Yours!"	4 June 2003	3 June 2006
37	"Surviving the Cut: The Rookie 9 Together Again!"	11 June 2003	10 June 2006
38	"Narrowing the Field: Sudden Death Elimination!"	18 June 2003	17 June 2006
39	"Bushy Brow's Jealousy: Lions Barrage Unleashed!"	2 July 2003	24 June 2006
40	"Kakashi and Orochimaru: Face-to-Face!"	9 July 2003	1 July 2006
41	"Kunoichi Rumble: The Rivals Get Serious!"	16 July 2003	8 July 2006
42	"The Ultimate Battle: Cha!"	23 July 2003	15 July 2006
43	"Killer Kunoichi and a Shaky Shikamaru"	30 July 2003	15 July 2006
44	"Akamaru Unleashed! Who's Top Dog Now?"	6 August 2003	22 July 2006
45	"Surprise Attack! Naruto's Secret Weapon!"	13 August 2003	29 July 2006
46	"Byakugan Battle: Hinata Grows Bold!"	20 August 2003	5 August 2006
47	"A Failure Stands Tall!"	27 August 2003	12 August 2006
48	"Gaara vs. Rock Lee: The Power of Youth Explodes!"	3 September 2003	19 August 2006
49	"Lee's Hidden Strength: Forbidden Secret Jutsu!"	10 September 2003	26 August 2006
50	"The Fifth Gate: A Splendid Ninja is Born"	17 September 2003	2 September 2006
51	"A Shadow in Darkness: Danger Approaches Sasuke"	24 September 2003	9 September 2006
52	"Ebisu Returns: Naruto's Toughest Training Yet!"	1 October 2003	16 September 2006
53	"Long Time No See: Jiraiya Returns!"	8 October 2003	30 September 2006
54	"The Summoning Technique: Wisdom of the Toad Sage!"	15 October 2003	7 October 2006
55	"A Feeling of Yearning, a Flower Full of Hope"	22 October 2003	21 October 2006
56	"Live or Die: Risk it All to Win it All!"	29 October 2003	28 October 2006
57	"He Flies! He Jumps! He Lurks! Chief Toad Appears!"	5 November 2003	4 November 2006
58	"Hospital Besieged: The Evil Hand Revealed!"	12 November 2003	11 November 2006
59	"The Final Rounds: Rush to the Battle Arena!"	19 November 2003	18 November 2006
60	"Byakugan vs. Shadow Clone Technique!"	26 November 2003	18 November 2006
61	"Ultimate Defence: Zero Blind Spot!"	3 December 2003	18 November 2006
62	"A Failure's True Power"	10 December 2003	18 November 2006
63	"Hit it or Quit it: The Final Rounds Get Complicated!"	17 December 2003	25 November 2006
64	"Zero Motivation: The Guy with Cloud Envy!"	24 December 2003	2 December 2006
65	"Dancing Leaf, Squirming Sand"	31 December 2003	9 December 2006
66	"Bushy Brow's Jutsu: Sasuke Style!"	14 January 2004	16 December 2006
67	"Late for the Show, but Ready to Go! The Ultimate Secret Technique is Born!"	14 January 2004	23 December 2006
68	"Zero Hour! The Konoha Crush Begins!"	28 January 2004	6 January 2007
69	"Village in Distress: A New A-Ranked Mission!"	4 February 2004	13 January 2007
70	"A Shirker's Call to Action: A Layabout No More!"	11 February 2004	20 January 2007
71	"An Unrivaled Match: Hokage Battle Royale!"	18 February 2004	27 January 2007
72	"A Mistake from the Past: A Face Revealed!"	25 February 2004	27 January 2007
73	"Forbidden Secret Technique: Dead Demon Consuming Seal!"	3 March 2004	3 February 2007
74	"Astonishing Truth! Gaara's Identity Emerges!"	10 March 2004	10 February 2007
